Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
70,4.76217e-60,0.136654,5000,1,7.00208,1,0,0.00469971,0.00469971
71,4.82016e-60,0.136646,5000,1,7.00189,1,0,0.00427246,0.00427246
72,4.87667e-60,0.136638,5000,1,7.00116,1,0,0.00488281,0.00488281
73,4.95609e-60,0.136628,5000,0.999939,7.00177,0.999939,0,0.00463867,0.00463867
74,5.02561e-60,0.136617,5000,1,7.00128,1.00006,0,0.00421143,0.00421143
75,5.10062e-60,0.136607,5000,1,7.00067,1,0,0.0055542,0.0055542
76,5.16743e-60,0.136601,5000,0.999817,7.00134,0.999817,0,0.00463867,0.00463867
77,5.23231e-60,0.136589,5000,1,7.00189,1,0,0.00549316,0.00549316
78,5.30533e-60,0.13658,5000,1,7.00195,1,0,0.00500488,0.00500488
79,5.38671e-60,0.13657,5000,0.999939,7.00104,0.999939,0,0.00524902,0.00524902
80,5.47284e-60,0.136561,5000,0.999939,7.00092,0.999939,0,0.00537109,0.00537109
81,5.56782e-60,0.136547,5000,1,7,1,0,0.00518799,0.00518799
82,5.66213e-60,0.136536,5000,1,6.99951,1,0,0.00445557,0.00445557
83,5.74362e-60,0.136524,5000,1,6.99945,1,0,0.0043335,0.0043335
84,5.82362e-60,0.136514,5000,1,6.99969,1,0,0.00396729,0.00396729
85,5.91841e-60,0.136502,5000,1,6.99945,1,0,0.00445557,0.00445557
86,6.04673e-60,0.136489,5000,1,6.99817,1,0,0.00549316,0.00549316
87,6.33274e-60,0.136475,5000,0.999939,6.99835,0.999939,0,0.00488281,0.00488281
88,6.83816e-60,0.136459,5000,0.999939,6.99847,0.999939,0,0.00482178,0.00482178
89,7.63594e-60,0.136438,5000,0.999939,6.99976,0.999939,0,0.00531006,0.00531006
90,8.59516e-60,0.136414,5000,1,6.99927,1,0,0.00494385,0.00494385
91,9.73491e-60,0.136391,5000,1,6.99866,1,0,0.00622559,0.00622559
92,1.09918e-59,0.136369,5000,0.999878,6.99982,0.999817,6.10352e-05,0.00585938,0.00585938
93,1.24762e-59,0.136336,5000,0.999939,7.00031,0.999939,0,0.00463867,0.00463867
94,1.4313e-59,0.136305,5000,0.999939,7.00098,0.999939,0,0.0045166,0.0045166
95,1.63029e-59,0.136273,5000,0.999939,6.99945,0.999939,0,0.00592041,0.00592041
96,1.84833e-59,0.136238,5000,1,7.00012,1,0,0.0057373,0.0057373
97,2.07877e-59,0.136205,5000,0.999878,7.00006,0.999878,0,0.00524902,0.00524902
98,2.34132e-59,0.136162,5000,1,7.00037,1,0,0.00463867,0.00463867
99,2.63605e-59,0.136118,5000,0.999939,7.0011,0.999939,0,0.0045166,0.0045166
100,2.93426e-59,0.136074,5000,1,7.00134,1,0,0.00592041,0.00592041
101,3.27032e-59,0.136027,5000,1,7.00043,1,0,0.00543213,0.00543213
102,3.61577e-59,0.135981,5000,0.999939,7.00043,0.999939,0,0.00537109,0.00537109
103,3.96784e-59,0.135931,5000,1,7.00031,1,0,0.00439453,0.00439453
104,4.35467e-59,0.135878,5000,1,6.99951,1,0,0.0055542,0.0055542
105,4.76995e-59,0.135824,5000,1,6.99792,1,0,0.00439453,0.00439453
106,5.20152e-59,0.135766,5000,1,6.99799,1,0,0.00531006,0.00531006
107,5.65552e-59,0.135705,5000,1,6.9978,1,0,0.00531006,0.00531006
108,6.14306e-59,0.135642,5000,1,6.99725,1,0,0.00469971,0.00469971
109,6.63839e-59,0.135582,5000,1,6.99628,1,0,0.00598145,0.00598145
110,7.16355e-59,0.135515,5000,1,6.99774,1,0,0.00561523,0.00561523
111,7.6839e-59,0.135448,5000,0.999939,6.99744,0.999939,0,0.00463867,0.00463867
112,8.23437e-59,0.13538,5000,0.999939,6.99701,0.999939,0,0.00488281,0.00488281
113,8.8002e-59,0.135308,5000,1,6.99719,1,0,0.0057373,0.0057373
114,9.41252e-59,0.135232,5000,1,6.99908,1,0,0.00488281,0.00488281
115,1.00269e-58,0.135159,5000,1,6.99872,1,0,0.00500488,0.00500488
116,1.0672e-58,0.135081,5000,1,6.99951,1,0,0.00537109,0.00537109
117,1.13497e-58,0.135002,5000,1,6.99988,1,0,0.00494385,0.00494385
118,1.20148e-58,0.134926,5000,1,6.99994,1,0,0.00469971,0.00469971
119,1.27243e-58,0.134848,5000,0.999939,7.00031,0.999939,0,0.00524902,0.00524902
120,1.34426e-58,0.134772,5000,0.999878,7.00043,0.999878,0,0.00531006,0.00531006
121,1.41747e-58,0.134693,5000,0.999817,7.00031,0.999817,0,0.00439453,0.00439453
122,1.4938e-58,0.13461,5000,0.999878,6.99994,0.999939,0,0.00488281,0.00488281
123,1.57142e-58,0.134526,5000,1,6.99988,1,0,0.00476074,0.00476074
124,1.65119e-58,0.134445,5000,0.999939,6.99915,0.999939,0,0.00524902,0.00524902
125,1.733e-58,0.134359,5000,1,6.99951,1,0,0.00408936,0.00408936
126,1.8168e-58,0.134278,5000,0.999939,7.00012,0.999939,0,0.00512695,0.00512695
127,1.90563e-58,0.134186,5000,1,7.00049,1,0,0.00457764,0.00457764
128,1.99014e-58,0.134105,5000,0.999878,7.00092,0.999878,0,0.00598145,0.00598145
129,2.08133e-58,0.134016,5000,0.999817,7.00171,0.999817,0,0.00500488,0.00500488
130,2.17312e-58,0.133924,5000,0.999939,7.00122,0.999939,0,0.00427246,0.00427246
