Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
105,4.39976e-58,0.132068,5000,1,7,1,0,0,0
106,4.39976e-58,0.132068,5000,1,7,1,0,0,0
107,4.39976e-58,0.132068,5000,1,7,1,0,0,0
108,4.39976e-58,0.132068,5000,1,7,1,0,0,0
109,4.39976e-58,0.132068,5000,1,7,1,0,0,0
110,4.39976e-58,0.132068,5000,1,7,1,0,0,0
111,4.39976e-58,0.132068,5000,1,7,1,0,0,0
112,4.39976e-58,0.132068,5000,1,7,1,0,0,0
113,4.39976e-58,0.132068,5000,1,7,1,0,0,0
114,4.39976e-58,0.132068,5000,1,7,1,0,0,0
115,4.39976e-58,0.132068,5000,1,7,1,0,0,0
116,4.39976e-58,0.132068,5000,1,7,1,0,0,0
117,4.39976e-58,0.132068,5000,1,7,1,0,0,0
118,4.39976e-58,0.132068,5000,1,7,1,0,0,0
119,4.39976e-58,0.132068,5000,1,7,1,0,0,0
120,4.39976e-58,0.132068,5000,1,7,1,0,0,0
121,4.39976e-58,0.132068,5000,1,7,1,0,0,0
122,4.39976e-58,0.132068,5000,1,7,1,0,0,0
123,4.39976e-58,0.132068,5000,1,7,1,0,0,0
124,4.39976e-58,0.132068,5000,1,7,1,0,0,0
125,4.39976e-58,0.132068,5000,1,7,1,0,0,0
126,4.39976e-58,0.132068,5000,1,7,1,0,0,0
127,4.39976e-58,0.132068,5000,1,7,1,0,0,0
128,4.39976e-58,0.132068,5000,1,7,1,0,0,0
129,4.39976e-58,0.132068,5000,1,7,1,0,0,0
130,4.39976e-58,0.132068,5000,1,7,1,0,0,0
131,4.39976e-58,0.132068,5000,1,7,1,0,0,0
132,4.39976e-58,0.132068,5000,1,7,1,0,0,0
133,4.39976e-58,0.132068,5000,1,7,1,0,0,0
134,4.39976e-58,0.132068,5000,1,7,1,0,0,0
135,4.39976e-58,0.132068,5000,1,7,1,0,0,0
136,4.39976e-58,0.132068,5000,1,7,1,0,0,0
137,4.39976e-58,0.132068,5000,1,7,1,0,0,0
