Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
766,6.57094e-05,0.0169011,5000,6.87,12.3992,7.74707,0.114746,5.01349,5.01349
767,6.6059e-05,0.0170241,5000,6.86456,12.3649,7.74536,0.111572,4.99622,4.99622
768,6.58717e-05,0.0173473,5000,6.86371,12.2849,7.73547,0.115295,5.02625,5.02625
769,6.69329e-05,0.0169793,5000,6.87769,12.2348,7.74805,0.120728,4.99298,4.99298
770,6.56832e-05,0.0173695,5000,6.86536,12.1932,7.73755,0.119446,5.01538,5.01538
771,6.71811e-05,0.0171091,5000,6.86792,12.1263,7.73895,0.117859,4.99487,4.99487
772,6.73747e-05,0.0172194,5000,6.85596,12.0981,7.73248,0.113281,5.02533,5.02533
773,6.79015e-05,0.0171896,5000,6.86279,12.0503,7.73816,0.116272,5.01947,5.01947
774,6.72003e-05,0.0171314,5000,6.85406,12.0505,7.73267,0.110413,5.01569,5.01569
775,6.81742e-05,0.0170592,5000,6.85046,12.052,7.73163,0.106445,5.00092,5.00092
776,6.82275e-05,0.0169853,5000,6.86334,12.04,7.74176,0.106506,4.98969,4.98969
777,6.89148e-05,0.0170567,5000,6.85468,12.0047,7.73376,0.100281,5.00433,5.00433
778,6.92618e-05,0.0169933,5000,6.85431,12.0301,7.73358,0.102844,4.99127,4.99127
779,6.93873e-05,0.0172967,5000,6.85809,12.0063,7.73688,0.09729,4.98529,4.98529
780,6.95748e-05,0.0171791,5000,6.85779,11.9507,7.73553,0.0962524,4.97797,4.97797
781,7.01146e-05,0.0170154,5000,6.85632,11.8856,7.73901,0.0950317,5.02405,5.02405
782,7.05894e-05,0.0171199,5000,6.86407,11.8751,7.74933,0.0930176,4.99194,4.99194
783,7.01796e-05,0.017149,5000,6.8551,11.8696,7.74182,0.0923462,5.034,5.034
784,7.11376e-05,0.0168741,5000,6.85773,11.8557,7.73688,0.0945435,5.00067,5.00067
785,7.12974e-05,0.0170947,5000,6.85339,11.8472,7.73193,0.0969238,5.01904,5.01904
786,7.17541e-05,0.0171277,5000,6.85358,11.8188,7.73779,0.0941772,4.99695,4.99695
787,7.23091e-05,0.0171492,5000,6.85669,11.7961,7.73682,0.0932617,5.00629,5.00629
788,7.30114e-05,0.0169182,5000,6.85773,11.801,7.73969,0.0929565,4.96564,4.96564
789,7.25892e-05,0.0169672,5000,6.85352,11.7859,7.73798,0.0945435,4.98987,4.98987
790,7.27878e-05,0.0169376,5000,6.85901,11.7563,7.74194,0.0946655,4.98553,4.98553
791,7.30458e-05,0.0170211,5000,6.85388,11.7726,7.73456,0.0959473,5.00818,5.00818
792,7.24503e-05,0.0171729,5000,6.85968,11.7873,7.73712,0.0968018,4.98169,4.98169
793,7.31471e-05,0.0170448,5000,6.85834,11.7662,7.73999,0.0961914,4.99567,4.99567
794,7.3386e-05,0.0171649,5000,6.85626,11.703,7.73853,0.0944824,4.9942,4.9942
795,7.45802e-05,0.0167913,5000,6.86511,11.7177,7.74554,0.0968628,5.00134,5.00134
796,7.46153e-05,0.0169383,5000,6.86835,11.7191,7.75165,0.0941162,5.01123,5.01123
797,7.47141e-05,0.0169518,5000,6.86517,11.683,7.74835,0.0926514,4.97565,4.97565
798,7.49205e-05,0.0169872,5000,6.86975,11.6819,7.755,0.092041,5.00354,5.00354
799,7.4696e-05,0.0170771,5000,6.86371,11.69,7.74225,0.0986938,5.01263,5.01263
800,7.51303e-05,0.0168932,5000,6.86938,11.6919,7.74811,0.100403,5.02063,5.02063
801,7.54809e-05,0.0169839,5000,6.86273,11.6921,7.74402,0.0979614,4.98083,4.98083
802,7.54909e-05,0.0168476,5000,6.87347,11.6632,7.75226,0.0993652,5.0141,5.0141
803,7.64644e-05,0.0169521,5000,6.87115,11.6556,7.75403,0.0964966,4.99969,4.99969
804,7.65894e-05,0.0169022,5000,6.8775,11.6395,7.75787,0.101379,4.9762,4.9762
805,7.68248e-05,0.0169285,5000,6.87592,11.621,7.7547,0.100281,4.98364,4.98364
806,7.75751e-05,0.0168602,5000,6.87866,11.6401,7.76001,0.0975952,5.00177,5.00177
807,7.66058e-05,0.0169637,5000,6.87994,11.6786,7.758,0.100281,4.99908,4.99908
808,7.72079e-05,0.0168202,5000,6.87537,11.6865,7.75848,0.0995483,4.9989,4.9989
809,7.68033e-05,0.0171178,5000,6.87921,11.7077,7.75989,0.103271,5.01617,5.01617
810,7.75771e-05,0.016865,5000,6.87677,11.7139,7.75128,0.106812,4.98657,4.98657
811,7.84012e-05,0.0167052,5000,6.88635,11.7012,7.76709,0.103333,4.97455,4.97455
812,7.7271e-05,0.0170225,5000,6.87628,11.7285,7.75525,0.0999146,5.01581,5.01581
813,7.84632e-05,0.0168831,5000,6.87866,11.6866,7.75983,0.103088,4.99133,4.99133
814,7.74922e-05,0.0171412,5000,6.86847,11.7109,7.74927,0.100647,4.99017,4.99017
